,movieId,title,tag,genresList,year,soup
26,6534,Hulk (2003),dogs Eric Bana mad scientist marvel,action adventure sci-fi,2003,dogs eric bana mad scientist marvel action adventure sci-fi
27,6541,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",captain nemo comic book gothic Peta Wilson Sean Connery superhero,action fantasy sci-fi,2003,captain nemo comic book gothic peta wilson sean connery superhero action fantasy sci-fi
28,6564,Lara Croft Tomb Raider: The Cradle of Life (2003),adventure Angelina Jolie heroine in tight suit,action adventure comedy romance thriller,2003,adventure angelina jolie heroine in tight suit action adventure comedy romance thriller
29,7153,"Lord of the Rings: The Return of the King, The (2003)",Adventure ensemble cast fantasy fantasy world great soundtrack lord of the rings scenic stylized Tolkien Tolkein,action adventure drama fantasy,2003,adventure ensemble cast fantasy fantasy world great soundtrack lord of the rings scenic stylized tolkien tolkein action adventure drama fantasy
30,8641,Anchorman: The Legend of Ron Burgundy (2004),hilarious Steve Carell Will Ferrell stupid awesome comedy Will Ferrell,comedy,2004,hilarious steve carell will ferrell stupid awesome comedy will ferrell comedy
31,27660,"Animatrix, The (2003)",animation anime cyberpunk dark Matrix sci-fi,action animation drama sci-fi,2003,animation anime cyberpunk dark matrix sci-fi action animation drama sci-fi
32,27706,Lemony Snicket's A Series of Unfortunate Events (2004),dark comedy Jim Carrey meryl streep quirky stylized,adventure children comedy fantasy,2004,dark comedy jim carrey meryl streep quirky stylized adventure children comedy fantasy
33,27808,Spanglish (2004),Adam Sandler family sweet,comedy drama romance,2004,adam sandler family sweet comedy drama romance
34,27831,Layer Cake (2004),British gangster confusing daniel craig Exquisite plotting. organized crime stylish Tom Hardy,crime drama thriller,2004,british gangster confusing daniel craig exquisite plotting. organized crime stylish tom hardy crime drama thriller
35,31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),anime fantasy world Hayao Miyazaki Studio Ghibli 06 Oscar Nominated Best Movie - Animation In Netflix queue,adventure animation fantasy romance,2004,anime fantasy world hayao miyazaki studio ghibli 06 oscar nominated best movie - animation in netflix queue adventure animation fantasy romance
36,33162,Kingdom of Heaven (2005),David Thewlis Eva Green Liam Neeson Orlando Bloom,action drama romance war,2005,david thewlis eva green liam neeson orlando bloom action drama romance war
37,34150,Fantastic Four (2005),Chris Evans comic book heroine in tight suit Jessica Alba sexy female scientist superhero,action adventure sci-fi,2005,chris evans comic book heroine in tight suit jessica alba sexy female scientist superhero action adventure sci-fi
38,37729,Corpse Bride (2005),gothic helena bonham carter Johnny Depp Tim Burton visually appealing animation 06 Oscar Nominated Best Movie - Animation,animation comedy fantasy musical romance,2005,gothic helena bonham carter johnny depp tim burton visually appealing animation 06 oscar nominated best movie - animation animation comedy fantasy musical romance
39,38061,Kiss Kiss Bang Bang (2005),black comedy clever fast-paced dialogue good dialogue Robert Downey Jr. witty In Netflix queue,comedy crime mystery thriller,2005,black comedy clever fast-paced dialogue good dialogue robert downey jr. witty in netflix queue comedy crime mystery thriller
40,45447,"Da Vinci Code, The (2006)",adventure Audrey Tautou conspiracy theory Mystery Paris Tom Hanks treasure hunt,drama mystery thriller,2006,adventure audrey tautou conspiracy theory mystery paris tom hanks treasure hunt drama mystery thriller
41,46723,Babel (2006),Brad Pitt cate blanchett multiple storylines social commentary,drama thriller,2006,brad pitt cate blanchett multiple storylines social commentary drama thriller
42,46972,Night at the Museum (2006),Ben Stiller Robin Williams,action comedy fantasy imax,2006,ben stiller robin williams action comedy fantasy imax
43,46976,Stranger than Fiction (2006),emma thompson Maggie Gyllenhaal modern fantasy romance surreal Will Ferrell,comedy drama fantasy romance,2006,emma thompson maggie gyllenhaal modern fantasy romance surreal will ferrell comedy drama fantasy romance
44,49130,"Good Year, A (2006)",Marion Cotillard,comedy drama romance,2006,marion cotillard comedy drama romance
45,49530,Blood Diamond (2006),Africa corruption Jennifer Connelly justice Leonardo DiCaprio,action adventure crime drama thriller war,2006,africa corruption jennifer connelly justice leonardo dicaprio action adventure crime drama thriller war
46,53464,Fantastic Four: Rise of the Silver Surfer (2007),bad acting bad jokes bad plot Chris Evans Jessica Alba Marvel sexy female scientist,action adventure sci-fi,2007,bad acting bad jokes bad plot chris evans jessica alba marvel sexy female scientist action adventure sci-fi
47,58047,"Definitely, Maybe (2008)",Rachel Weisz Ryan Reynolds,comedy drama romance,2008,rachel weisz ryan reynolds comedy drama romance
48,59501,"Chronicles of Narnia: Prince Caspian, The (2008)",fantasy lion narnia Tilda Swinton,adventure children fantasy,2008,fantasy lion narnia tilda swinton adventure children fantasy
49,60074,Hancock (2008),bad script Charlize Theron Will Smith,action adventure comedy crime fantasy,2008,bad script charlize theron will smith action adventure comedy crime fantasy
50,60126,Get Smart (2008),Anne Hathaway Steve Carell,action comedy,2008,anne hathaway steve carell action comedy
51,61024,Pineapple Express (2008),comedy James Franco Seth Rogen Stoner Movie,action comedy crime,2008,comedy james franco seth rogen stoner movie action comedy crime
52,63992,Twilight (2008),audience intelligence underestimated boring chick flick overrated Teen movie,drama fantasy romance thriller,2008,audience intelligence underestimated boring chick flick overrated teen movie drama fantasy romance thriller
53,68848,"Brothers Bloom, The (2008)",Adrien Brody con artists funny interesting characters Mark Ruffalo Rachel Weisz,adventure comedy crime romance,2008,adrien brody con artists funny interesting characters mark ruffalo rachel weisz adventure comedy crime romance
54,71535,Zombieland (2009),Bill Murray dark comedy Emma Stone funny Jesse Eisenberg Woody Harrelson,action comedy horror,2009,bill murray dark comedy emma stone funny jesse eisenberg woody harrelson action comedy horror
55,87430,Green Lantern (2011),audience intelligence underestimated CGI cheesy comic book DC DC Comics Ryan Reynolds space superhero,action adventure sci-fi,2011,audience intelligence underestimated cgi cheesy comic book dc dc comics ryan reynolds space superhero action adventure sci-fi
56,88405,Friends with Benefits (2011),comedy funny happy ending HOT actress Justin Timberlake Mila Kunis New York City romance sex,comedy romance,2011,comedy funny happy ending hot actress justin timberlake mila kunis new york city romance sex comedy romance
57,96861,Taken 2 (2012),Istanbul Liam Neeson predictable Turkey unnecessary sequel,action crime drama thriller,2012,istanbul liam neeson predictable turkey unnecessary sequel action crime drama thriller
58,99114,Django Unchained (2012),action Christoph Waltz funny good soundtrack Great performances Humour Leonardo DiCaprio Quentin Tarantino Samuel L. Jackson Soundtrack western Soundtrack,action drama western,2012,action christoph waltz funny good soundtrack great performances humour leonardo dicaprio quentin tarantino samuel l. jackson soundtrack western soundtrack action drama western
59,103042,Man of Steel (2013),Amy Adams superhero,action adventure fantasy sci-fi imax,2013,amy adams superhero action adventure fantasy sci-fi imax
60,104863,What If (2013),daniel radcliffe zoe kazan,comedy drama romance,2013,daniel radcliffe zoe kazan comedy drama romance
61,107348,Anchorman 2: The Legend Continues (2013),comedy Steve Carell stupid but funny will ferrell,comedy,2013,comedy steve carell stupid but funny will ferrell comedy
62,108190,Divergent (2014),anti-intellectual bad writing dystopia new society plot holes predictable scifi unintelligent,adventure romance sci-fi imax,2014,anti-intellectual bad writing dystopia new society plot holes predictable scifi unintelligent adventure romance sci-fi imax
63,111743,A Million Ways to Die in the West (2014),Charlize Theron Liam Neeson Seth MacFarlane witty,comedy western,2014,charlize theron liam neeson seth macfarlane witty comedy western
64,114180,"Maze Runner, The (2014)",action dystopia plot holes post-apocalyptic survival thriller unexplained weak plot,action mystery sci-fi,2014,action dystopia plot holes post-apocalyptic survival thriller unexplained weak plot action mystery sci-fi
65,115149,John Wick (2014),dark hero gun-fu Keanu Reeves Revenge secret society stylish action killer widows/widowers,action thriller,2014,dark hero gun-fu keanu reeves revenge secret society stylish action killer widows/widowers action thriller
66,116897,Wild Tales (2014),black comedy dark comedy dark humor ironic multiple short stories short stories,comedy drama thriller,2014,black comedy dark comedy dark humor ironic multiple short stories short stories comedy drama thriller
67,122912,Avengers: Infinity War - Part I (2018),comic book Dr. Strange Great villain Guardians of the Galaxy Marvel MCU Robert Downey Jr. Thanos Thor Visually stunning Dark emotional Sad Visually appealing Visually stunning,action adventure sci-fi,2018,comic book dr. strange great villain guardians of the galaxy marvel mcu robert downey jr. thanos thor visually stunning dark emotional sad visually appealing visually stunning action adventure sci-fi
68,128360,The Hateful Eight (2015),characters Dialogue humor Kurt Russell Quentin Tarantino Samuel L. Jackson tension building violent Western,western,2015,characters dialogue humor kurt russell quentin tarantino samuel l. jackson tension building violent western western
69,135133,The Hunger Games: Mockingjay - Part 2 (2015),dystopia Jennifer Lawrence love story nonsense politics rebellion revolution,adventure sci-fi,2015,dystopia jennifer lawrence love story nonsense politics rebellion revolution adventure sci-fi
70,135518,Self/less (2015),Ben Kingsley ethics immortality ryan reynolds,action mystery sci-fi thriller,2015,ben kingsley ethics immortality ryan reynolds action mystery sci-fi thriller
71,135536,Suicide Squad (2016),Bad story Bad writing Batman Ben Affleck comic book dc comics good soundtrack Harley Quinn Harley Quinn's ass Horrible directing Jared Leto Joker lack of plot Margot Robbie Poor story poorly paced superhero visually appealing Will Smith,action crime sci-fi,2016,bad story bad writing batman ben affleck comic book dc comics good soundtrack harley quinn harley quinn's ass horrible directing jared leto joker lack of plot margot robbie poor story poorly paced superhero visually appealing will smith action crime sci-fi
72,136864,Batman v Superman: Dawn of Justice (2016),action batman ben affleck dark dc comics Gal Gadot superhero superman wonderwoman,action adventure fantasy sci-fi,2016,action batman ben affleck dark dc comics gal gadot superhero superman wonderwoman action adventure fantasy sci-fi
73,139385,The Revenant (2015),leonardo DiCarpio survival tom hardy visually appealing cinematography visually appealing Visually Striking,adventure drama,2015,leonardo dicarpio survival tom hardy visually appealing cinematography visually appealing visually striking adventure drama
74,158966,Captain Fantastic (2016),building a family creative freedom good writing individualism Viggo Mortensen,drama,2016,building a family creative freedom good writing individualism viggo mortensen drama
75,168248,John Wick: Chapter Two (2017),action dark hero gun tactics hitman Keanu Reeves organized crime secret society Heroic Bloodshed,action crime thriller,2017,action dark hero gun tactics hitman keanu reeves organized crime secret society heroic bloodshed action crime thriller
76,174053,Black Mirror: White Christmas (2014),Dystopia future interesting jon hamm thought provoking,drama horror mystery sci-fi thriller,2014,dystopia future interesting jon hamm thought provoking drama horror mystery sci-fi thriller
77,179401,Jumanji: Welcome to the Jungle (2017),Action Comedy Dwayne Johnson funny,action adventure children,2017,action comedy dwayne johnson funny action adventure children
78,183611,Game Night (2018),Comedy funny Rachel McAdams,action comedy crime horror,2018,comedy funny rachel mcadams action comedy crime horror
79,184471,Tomb Raider (2018),adventure Alicia Vikander video game adaptation,action adventure fantasy,2018,adventure alicia vikander video game adaptation action adventure fantasy
80,187593,Deadpool 2 (2018),Josh Brolin Ryan Reynolds sarcasm,action comedy sci-fi,2018,josh brolin ryan reynolds sarcasm action comedy sci-fi
81,187595,Solo: A Star Wars Story (2018),Emilia Clarke star wars,action adventure children sci-fi,2018,emilia clarke star wars action adventure children sci-fi
82,260,Star Wars: Episode IV - A New Hope (1977),classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera,action adventure sci-fi,1977,classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure epic classic nerd classic sci-fi space action space epic oldie but goodie sci-fi star wars robots and androids space classic sci-fi sci-fi space adventure star wars darth vader luke skywalker space opera action adventure sci-fi
83,296,Pulp Fiction (1994),good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns Harvey Keitel heroin Highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp Quentin Tarantino quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense Tarantino thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty,comedy crime drama thriller,1994,good dialogue great soundtrack non-linear cult film drugs quentin tarantino tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric awesome bad ass bad language bad-ass bible biblical references big boys with guns big name actors black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns harvey keitel heroin highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony john travolta killer-as-protagonist los angeles mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order palme d'or parody philosophical pop culture references psychological pulp quentin tarantino quirky quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro roger avary royal with cheese samuel l. jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter steve buscemi storytelling stylish stylized suspense tarantino thought-provoking thriller travolta twist ending uma thurman unique unpredictable unusual very funny violence violent witty comedy crime drama thriller
84,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Everything you want is here alan rickman harry potter humorous Magic Magic Wizards,adventure children fantasy,2001,everything you want is here alan rickman harry potter humorous magic magic wizards adventure children fantasy
85,106489,"Hobbit: The Desolation of Smaug, The (2013)",adventure fantasy Tolkien too long,adventure fantasy imax,2013,adventure fantasy tolkien too long adventure fantasy imax
86,101142,"Croods, The (2013)",animation funny stone age,adventure animation comedy,2013,animation funny stone age adventure animation comedy
87,115617,Big Hero 6 (2014),animation kids robots feel-good fun family movie very funny,action animation comedy,2014,animation kids robots feel-good fun family movie very funny action animation comedy
88,120635,Taken 3 (2015),action murder police,action crime thriller,2015,action murder police action crime thriller
89,1726,"Postman, The (1997)",Kevin Costner Post apocalyptic,action adventure drama sci-fi,1997,kevin costner post apocalyptic action adventure drama sci-fi
90,2387,Very Bad Things (1998),dark comedy dark humor,comedy crime,1998,dark comedy dark humor comedy crime
91,3052,Dogma (1999),irreverent jay and silent bob Kevin Smith satire religion,adventure comedy fantasy,1999,irreverent jay and silent bob kevin smith satire religion adventure comedy fantasy
92,5088,"Going Places (Valseuses, Les) (1974)",irreverent,comedy crime drama,1974,irreverent comedy crime drama
93,7022,Battle Royale (Batoru rowaiaru) (2000),based on a book bloody brutal controversial dystopia goretastic satire social commentary survival violence,action drama horror thriller,2000,based on a book bloody brutal controversial dystopia goretastic satire social commentary survival violence action drama horror thriller
94,7254,The Butterfly Effect (2004),alternate reality sci-fi science fiction time travel,drama sci-fi thriller,2004,alternate reality sci-fi science fiction time travel drama sci-fi thriller
95,8957,Saw (2004),brutal clever Disturbing great ending mindfuck surprise ending suspense,horror mystery thriller,2004,brutal clever disturbing great ending mindfuck surprise ending suspense horror mystery thriller
96,9010,Love Me If You Dare (Jeux d'enfants) (2003),cruel characters,drama romance,2003,cruel characters drama romance
97,42632,Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),brutality,crime drama mystery thriller,2005,brutality crime drama mystery thriller
98,58301,Funny Games U.S. (2007),dark humor dark dark humor intelligent thought-provoking,drama thriller,2007,dark humor dark dark humor intelligent thought-provoking drama thriller
99,60950,Vicky Cristina Barcelona (2008),threesome,comedy drama romance,2008,threesome comedy drama romance
100,62434,Zack and Miri Make a Porno (2008),Seth Rogen Sexual Humor,comedy drama romance,2008,seth rogen sexual humor comedy drama romance
101,67695,Observe and Report (2009),Seth Rogen,action comedy,2009,seth rogen action comedy
102,100083,Movie 43 (2013),embarassing scenes offensive R language sarcasm satire,comedy,2013,embarassing scenes offensive r language sarcasm satire comedy
103,156371,Everybody Wants Some (2016),80's,comedy,2016,80's comedy
104,158872,Sausage Party (2016),Crude humor mindfuck sarcasm satire Vulgar,animation comedy,2016,crude humor mindfuck sarcasm satire vulgar animation comedy
105,3556,"Virgin Suicides, The (1999)",sofia coppola 1970s suicide,drama romance,1999,sofia coppola 1970s suicide drama romance
106,6323,Identity (2003),John Cusack,crime horror mystery thriller,2003,john cusack crime horror mystery thriller
107,6367,Down with Love (2003),Ewan McGregor Renee Zellweger retro,comedy romance,2003,ewan mcgregor renee zellweger retro comedy romance
108,59103,"Forbidden Kingdom, The (2008)",jackie chan kung fu,action adventure comedy fantasy,2008,jackie chan kung fu action adventure comedy fantasy
109,52287,Meet the Robinsons (2007),Something for everyone in this one... saw it without and plan on seeing it with kids!,action adventure animation children comedy sci-fi,2007,something for everyone in this one... saw it without and plan on seeing it with kids! action adventure animation children comedy sci-fi
110,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),assassin Jean Reno hit men Action assassin assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hit men hitman humorous imdb top 250 Jean Reno Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique,action crime drama thriller,1994,assassin jean reno hit men action assassin assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hit men hitman humorous imdb top 250 jean reno lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique action crime drama thriller
111,54286,"Bourne Ultimatum, The (2007)",assassin assassin-in-training (scene) espionage Robert Ludlum,action crime thriller,2007,assassin assassin-in-training (scene) espionage robert ludlum action crime thriller
112,104,Happy Gilmore (1996),test tag golf Adam Sandler,comedy,1996,test tag golf adam sandler comedy
113,2579,Following (1998),black and white Christopher Nolan directorial debut mindfuck not linear Twist Ending black and white,crime mystery thriller,1998,black and white christopher nolan directorial debut mindfuck not linear twist ending black and white crime mystery thriller
114,3793,X-Men (2000),action comic book hugh jackman marvel superhero superhero,action adventure sci-fi,2000,action comic book hugh jackman marvel superhero superhero action adventure sci-fi
115,4226,Memento (2000),dark Mindfuck nonlinear psychology twist ending mystery psychological twist ending Backwards. memory mystery twist ending cerebral dreamlike,mystery thriller,2000,dark mindfuck nonlinear psychology twist ending mystery psychological twist ending backwards. memory mystery twist ending cerebral dreamlike mystery thriller
116,6283,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),amazing artwork anime sci-fi,action animation sci-fi thriller,2001,amazing artwork anime sci-fi action animation sci-fi thriller
117,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",anime end of the world epic mecha psychology,action animation drama fantasy sci-fi,1997,anime end of the world epic mecha psychology action animation drama fantasy sci-fi
118,193565,Gintama: The Movie (2010),anime comedy gintama remaster,action animation comedy sci-fi,2010,anime comedy gintama remaster action animation comedy sci-fi
119,4878,Donnie Darko (2001),atmospheric cult film dreamlike hallucinatory psychological surreal time travel jake gyllenhaal time travel dreamlike hallucinatory mental illness psychology social commentary teen thought-provoking atmospheric cerebral dreamlike enigmatic hallucinatory mental illness mindfuck philosophy psychological quirky surreal thought-provoking weird,drama mystery sci-fi thriller,2001,atmospheric cult film dreamlike hallucinatory psychological surreal time travel jake gyllenhaal time travel dreamlike hallucinatory mental illness psychology social commentary teen thought-provoking atmospheric cerebral dreamlike enigmatic hallucinatory mental illness mindfuck philosophy psychological quirky surreal thought-provoking weird drama mystery sci-fi thriller
120,7147,Big Fish (2003),dreamlike sentimental surreal Tim Burton,drama fantasy romance,2003,dreamlike sentimental surreal tim burton drama fantasy romance
121,7361,Eternal Sunshine of the Spotless Mind (2004),alternate reality memory thought-provoking jim carrey memory cult film imagination Jim Carrey love surreal arthouse artistic atmospheric beautiful bittersweet colourful comedy dreamlike emotional feel-good happpiness humane insightful intelligent lovely melancholy mind-bending philosophy quirky quirky romantic romantic surreal surrealism thought-provoking,drama romance sci-fi,2004,alternate reality memory thought-provoking jim carrey memory cult film imagination jim carrey love surreal arthouse artistic atmospheric beautiful bittersweet colourful comedy dreamlike emotional feel-good happpiness humane insightful intelligent lovely melancholy mind-bending philosophy quirky quirky romantic romantic surreal surrealism thought-provoking drama romance sci-fi
122,97938,Life of Pi (2012),cinematography India surreal,adventure drama imax,2012,cinematography india surreal adventure drama imax
123,6938,Billabong Odyssey (2003),big wave surfing,documentary,2003,big wave surfing documentary
124,48780,"Prestige, The (2006)",ummarti2006 atmospheric enigmatic,drama mystery sci-fi thriller,2006,ummarti2006 atmospheric enigmatic drama mystery sci-fi thriller
125,126548,The DUFF (2015),funny high school,comedy,2015,funny high school comedy
126,68319,X-Men Origins: Wolverine (2009),comic book bad plot comic book hugh jackman Ryan Reynolds too many characters,action sci-fi thriller,2009,comic book bad plot comic book hugh jackman ryan reynolds too many characters action sci-fi thriller
127,7020,Proof (1991),Notable Nudity,comedy drama romance,1991,notable nudity comedy drama romance
128,3,Grumpier Old Men (1995),moldy old,comedy romance,1995,moldy old comedy romance
129,527,Schindler's List (1993),moving thought-provoking Holocaust based on a true story biography disturbing holocaust,drama war,1993,moving thought-provoking holocaust based on a true story biography disturbing holocaust drama war
130,1101,Top Gun (1986),predictable Navy,action romance,1986,predictable navy action romance
131,50872,Ratatouille (2007),a clever chef rat inspirational clever inspirational,animation children drama,2007,a clever chef rat inspirational clever inspirational animation children drama
132,102007,"Invincible Iron Man, The (2007)",animation,animation,2007,animation animation
133,118696,The Hobbit: The Battle of the Five Armies (2014),hope,adventure fantasy,2014,hope adventure fantasy
134,6711,Lost in Translation (2003),atmospheric Japan,comedy drama romance,2003,atmospheric japan comedy drama romance
135,4034,Traffic (2000),drugs based on a TV show,crime drama thriller,2000,drugs based on a tv show crime drama thriller
136,4995,"Beautiful Mind, A (2001)",mathematics,drama romance,2001,mathematics drama romance
137,6502,28 Days Later (2002),zombies zombies,action horror sci-fi,2002,zombies zombies action horror sci-fi
138,6953,21 Grams (2003),DEPRESSING,crime drama mystery romance thriller,2003,depressing crime drama mystery romance thriller
139,34405,Serenity (2005),predictable Firefly,action adventure sci-fi,2005,predictable firefly action adventure sci-fi
140,55721,Elite Squad (Tropa de Elite) (2007),Favelas,action crime drama thriller,2007,favelas action crime drama thriller
141,83134,Tucker & Dale vs Evil (2010),black comedy,comedy horror,2010,black comedy comedy horror
142,778,Trainspotting (1996),based on a book dark comedy narrated drug abuse,comedy crime drama,1996,based on a book dark comedy narrated drug abuse comedy crime drama
143,4612,Jesus of Montreal (Jésus de Montréal) (1989),reciprocal spectator,drama,1989,reciprocal spectator drama
144,4708,Marat/Sade (1966),reciprocal spectator,drama musical,1966,reciprocal spectator drama musical
